Store Code	Date	Retail Week	Transaction ID	Agent Code	Customer Code	Line Item ID	Line Item Description	Quantity	Line Item Price	Line barcode	Line creation date
MB076	28/06/2020	26	138203	JP	CU0222703	LA760027617	ABX DAY CREAM J50ML /NG	1	335.00	3785809621272	28/06/2020 03:02:26 PM
MB076	28/06/2020	26	138203	JP	CU0222703	LA760054256	TIUW SPF15 03 F/P30ML /RP	1	64.00	3794985001795	28/06/2020 03:02:55 PM
MB076	28/06/2020	26	138203	JP	CU0222703	CALL10	Lala Call & Collect	1	0.00	3150000019497	28/06/2020 03:07:17 PM
MB062	28/06/2020	26	140715	GP	BI046046	ES690040484	YVR EDT VAPO 80ML COLLEC ES/NP	1	151.00	3533712038897	28/06/2020 11:36:05 AM
MB062	28/06/2020	26	140715	GP	BI046046	CALL50	ES Call & Collect	1	0.00	3150000019536	28/06/2020 11:36:47 AM
MB062	28/06/2020	26	140716	GP	BI046046	ES690063592	TOTAL HAUTE 16	1	62.00	3794985294968	28/06/2020 11:40:55 AM
MB062	28/06/2020	26	140716	GP	BI046046	CALL50	ES Call & Collect	1	0.00	3150000019536	28/06/2020 11:41:16 AM
HM050	28/06/2020	26	159201	WY	BN0378627	CALL20	Bacci Call & Collect	1	0.00	3150000019520	28/06/2020 02:37:49 PM
HM050	28/06/2020	26	159201	WY	BN0378627	BA660022320	CC DARK SPOT 30ML	1	84.00	3786268712769	28/06/2020 02:37:09 PM
HM050	28/06/2020	26	159201	WY	BN0378627	BA660033077	ULTRA FACIAL CREAM 7ML DLX	1	51.00	3786268878587	28/06/2020 02:37:38 PM
HM050	28/06/2020	26	159201	WY	BN0378627	BA660064544	PSLRC 5ML DLX	1	72.00	3786270113231	28/06/2020 02:37:34 PM
HM050	28/06/2020	26	159201	WY	BN0378627	BA660077612	MIDNIGHT RECOVERY EYE 3ML DLX	1	91.00	3786273841249	28/06/2020 02:37:41 PM
HM050	28/06/2020	26	159201	WY	BN0378627	BA660022017	REWIND TONER 40ML DLX	1	72.00	3885204449456	28/06/2020 02:37:31 PM
HM050	28/06/2020	26	159201	WY	BN0378627	BA660040599	Bacci F.FUEL 125ML	1	57.00	3885204455059	28/06/2020 02:37:12 PM
HM050	28/06/2020	26	159208	WY	BN096417	CALL20	Bacci Call & Collect	1	0.00	3150000019520	28/06/2020 03:20:38 PM
HM050	28/06/2020	26	159208	WY	BN096417	BA660028968	ULTRA FACIAL CLEANSER 150ML	1	33.00	3786268525402	28/06/2020 03:20:04 PM
HM050	28/06/2020	26	159208	WY	BN096417	BA660033077	ULTRA FACIAL CREAM 7ML DLX	1	51.00	3786268878587	28/06/2020 03:20:23 PM
HM050	28/06/2020	26	159208	WY	BN096417	BA660064544	PSLRC 5ML DLX	1	72.00	3786270113231	28/06/2020 03:20:31 PM
HM050	28/06/2020	26	159208	WY	BN096417	BA660068745	ULTRA FACIAL CREAM 125ML	1	84.00	3786273780239	28/06/2020 03:20:07 PM
HM050	28/06/2020	26	159208	WY	BN096417	BA660077612	MIDNIGHT RECOVERY EYE 3ML DLX	1	91.00	3786273841249	28/06/2020 03:20:29 PM
HM050	28/06/2020	26	159208	WY	BN096417	BA660022017	REWIND TONER 40ML DLX	1	72.00	3885204449456	28/06/2020 03:20:21 PM
MB062	28/06/2020	26	168601	NB	AS0578165	LA760071385	MANUFIQUE ADV EYE CARE J15ML	1	107.00	3794985862991	28/06/2020 12:18:45 PM
MB062	28/06/2020	26	168601	NB	AS0578165	LA760065945	ADV GEN LIGHT PEARL LASHE B20ML /NF	1	117.00	3794985988505	28/06/2020 12:18:53 PM
MB062	28/06/2020	26	168601	NB	AS0578165	CALL10	Lala Call & Collect	1	0.00	3150000019497	28/06/2020 12:19:03 PM
AJ041	28/06/2020	26	194714	KS	BF0504533	LA760055757	BI FACIL EYE B125ML /NG2	1	60.00	3305145931851	28/06/2020 02:38:19 PM
AJ041	28/06/2020	26	194714	KS	BF0504533	LA760010976	LATE GEL T125ML	1	64.00	3785807278582	28/06/2020 02:38:30 PM
AJ041	28/06/2020	26	194714	KS	BF0504533	LA760055106	MANUFIQUE SERUM B50ML RENO	1	160.00	3794986254715	28/06/2020 02:38:35 PM
AJ041	28/06/2020	26	194714	KS	BF0504533	CALL10	Lala Call & Collect	1	0.00	3150000019497	28/06/2020 02:38:46 PM
AJ041	28/06/2020	26	194717	KS	AX0421688	LA760039188	TEINT MIRACLE 010 F/P30ML /RP FF	1	64.00	3794985009835	28/06/2020 05:06:47 PM
AJ041	28/06/2020	26	194717	KS	AX0421688	LA760068835	MANUFIQUE SERUM B30ML RENO	1	105.00	3794986254722	28/06/2020 05:06:57 PM
AJ041	28/06/2020	26	194717	KS	AX0421688	LA760070477	EDV PEARLY LOTION 200ML	1	70.00	5182192701836	28/06/2020 05:07:14 PM
AJ041	28/06/2020	26	194717	KS	AX0421688	CALL10	Lala Call & Collect	1	0.00	3150000019497	28/06/2020 05:07:26 PM
HM051	28/06/2020	26	1114652	JP	BI098586	CALL20	Bacci Call & Collect	1	0.00	3150000019520	28/06/2020 12:49:35 PM
HM051	28/06/2020	26	1114652	JP	BI098586	BA660016911	Bacci SUSTAINABLE TOTE BAG DS	1	26.00	3786270135792	28/06/2020 12:52:30 PM
HM051	28/06/2020	26	1114652	JP	BI098586	BA660069965	VITAL SS SUPER SERUM 1.5ML PKT	1	62.00	3786270869180	28/06/2020 12:52:45 PM
HM051	28/06/2020	26	1114652	JP	BI098586	BA660068745	ULTRA FACIAL CREAM 125ML	1	84.00	3786273780239	28/06/2020 12:49:40 PM
HM053	28/06/2020	26	1123486	KS	BK034690	CALL20	Bacci Call & Collect	1	0.00	3150000019520	28/06/2020 02:25:25 PM
