Store Code	Date	Retail Week	Transaction ID	Agent Code	Customer Code	Line Item ID	Line Item Description	Quantity	Line Item Price	Line barcode	Line creation date
AJ018	17/05/2020	20	12905	NP	CE091592	LA760035107	MANUFIQUE SENSITIVE B20ML	1	116.00	3794985262369	17/05/2020 01:19:32 PM
AJ018	17/05/2020	20	12905	NP	CE091592	LA760065485	MANUFIQUE SERUM B75ML RENO	1	215.00	3794986254697	17/05/2020 01:19:54 PM
AJ018	17/05/2020	20	12905	NP	CE091592	CALL10	Lala Call & Collect	1	0.00	3150000019497	17/05/2020 01:26:57 PM
AJ018	17/05/2020	20	12906	NP	AP0593194	LA760069555	LATE MOUSSE P/B 200ML /NP-NA	1	64.00	3785807278454	17/05/2020 03:27:53 PM
AJ018	17/05/2020	20	12906	NP	AP0593194	LA760057857	RML LIGHT CR J50ML/GNF1ML	1	168.00	3785810165794	17/05/2020 03:28:05 PM
AJ018	17/05/2020	20	12906	NP	AP0593194	CALL10	Lala Call & Collect	1	0.00	3150000019497	17/05/2020 03:28:22 PM
AJ018	17/05/2020	20	12909	NP	AO0187090	LA760013534	LVEB NEW Night Cream INTENSE V100ML	1	225.00	3794986641657	17/05/2020 04:09:25 PM
AJ018	17/05/2020	20	12909	NP	AO0187090	CALL10	Lala Call & Collect	1	0.00	3150000019497	17/05/2020 04:09:38 PM
AJ018	20/05/2020	20	12914	NP	CW0537301	LA760047209	CLEAR B150ML	1	150.00	3794986146653	20/05/2020 03:50:01 PM
AJ018	20/05/2020	20	12914	NP	CW0537301	CALL10	Lala Call & Collect	1	0.00	3150000019497	20/05/2020 03:50:13 PM
AJ018	20/05/2020	20	12916	NP	AS0540240	LA760011414	ABX EYE CREAM J20ML	1	215.00	3785809620760	20/05/2020 04:21:59 PM
AJ018	20/05/2020	20	12916	NP	AS0540240	CALL10	Lala Call & Collect	1	0.00	3150000019497	20/05/2020 04:22:09 PM
HM050	20/05/2020	20	157491	WY	CZ0129240	CALL20	Bacci Call & Collect	1	0.00	3150000019520	20/05/2020 10:26:21 AM
