Store Code	Date	Retail Week	Transaction ID	Agent Code	Customer Code	Line Item ID	Line Item Description	Quantity	Line Item Price	Line barcode	Line creation date
HM055	19/07/2020	29	144009	YS	AA0116211	VU860020729	HARD FORMULA H9 ACORN 06	1	38.00	5182192064621	19/07/2020 02:02:54 PM
HM055	19/07/2020	29	144009	YS	AA0116211	VU860020524	EYEBROW MANICURE RENO HNY GLAZE	1	40.00	5182192446799	19/07/2020 02:02:50 PM
HM055	19/07/2020	29	144009	YS	AA0116211	VU860012553	THE LIGHTBULB UV COMPACT CASE	1	14.00	5182192455521	19/07/2020 02:02:42 PM
HM055	19/07/2020	29	144009	YS	AA0116211	VU860074407	THE LIGHTBULB AERIAL FDT 375	1	60.00	5182192710432	19/07/2020 02:02:37 PM
HM055	19/07/2020	29	144009	YS	AA0116211	CALL40	Vu Call & Collect	1	0.00	3150000019512	19/07/2020 02:03:32 PM
HM055	19/07/2020	29	144012	LK	CA0192531	VU860057986	ULTIMA SMOOTH 2019 P B450 AD	1	112.00	5182192734803	19/07/2020 02:24:18 PM
HM055	19/07/2020	29	144012	LK	CA0192531	CALL40	Vu Call & Collect	1	0.00	3150000019512	19/07/2020 02:24:27 PM
HM055	19/07/2020	29	144013	YS	BV0135084	CALL40	Vu Call & Collect	1	0.00	3150000019512	19/07/2020 02:26:10 PM
HM055	19/07/2020	29	144013	YS	BV0135084	VU860047061	BROW:SWORD C SEAL BROWN	10	25.00	5182192690734	19/07/2020 02:24:38 PM
HM055	19/07/2020	29	144014	YS	AL0344852	VU860040257	CO ANTI/OXI+ 2016 P/B 450ML	1	126.00	5182192704044	19/07/2020 02:33:11 PM
HM055	19/07/2020	29	144014	YS	AL0344852	VU860069495	CO ULTIME8 450 20 TOKYO OS	1	158.00	5182192818420	19/07/2020 02:33:07 PM
HM055	19/07/2020	29	144014	YS	AL0344852	CALL40	Vu Call & Collect	1	0.00	3150000019512	19/07/2020 02:33:49 PM
HM055	19/07/2020	29	144015	PK	BF056260	VU860067232	EYELASH CURLER N	1	33.00	5182192418396	19/07/2020 02:49:46 PM
HM055	19/07/2020	29	144015	PK	BF056260	VU860065628	CO BGEN CHROMA 2019 PB450 AD	1	112.00	5182192779773	19/07/2020 02:49:43 PM
HM055	19/07/2020	29	144015	PK	BF056260	CALL40	Vu Call & Collect	1	0.00	3150000019512	19/07/2020 02:49:57 PM
HM055	19/07/2020	29	144018	LK	CZ0154391	VU860024395	LASTING S GEL PENCIL M BRWN	1	40.00	5182192719403	19/07/2020 03:12:51 PM
HM055	19/07/2020	29	144018	LK	CZ0154391	CALL40	Vu Call & Collect	1	0.00	3150000019512	19/07/2020 03:12:54 PM
HM055	19/07/2020	29	144020	LK	AE0449040	VU860074219	CO ANTI/OXI+ 2016 P/B 150ML	1	58.00	5182192704050	19/07/2020 03:20:22 PM
HM055	19/07/2020	29	144020	LK	AE0449040	VU860025378	EYE L CURLER SLV 20 TOKYO OS	1	33.00	5182192818356	19/07/2020 03:20:20 PM
HM055	19/07/2020	29	144020	LK	AE0449040	CALL40	Vu Call & Collect	1	0.00	3150000019512	19/07/2020 03:20:35 PM
