Store Code	Date	Retail Week	Transaction ID	Agent Code	Customer Code	Line Item ID	Line Item Description	Quantity	Line Item Price	Line barcode	Line creation date
MB083	26/07/2020	30	117593	JW	CY0312583	ES690060398	OPI Night Cream NS 90ML NP	1	198.00	3533712584076	26/07/2020 12:45:56 PM
MB083	26/07/2020	30	117593	JW	CY0312583	ES690073592	BLACK CRYSTAL Night Cream DOSE 1.2ML ECH	1	41.00	3794983678379	26/07/2020 12:46:35 PM
MB083	26/07/2020	30	117593	JW	CY0312583	CALL50	ES Call & Collect	1	0.00	3150000019536	26/07/2020 12:46:18 PM
HM055	26/07/2020	30	144175	YS	CF087528	VU860070706	HARD FORMULA H9 STONE GRAY 05	1	38.00	5182192064614	26/07/2020 02:13:40 PM
HM055	26/07/2020	30	144175	YS	CF087528	CALL40	Vu Call & Collect	1	0.00	3150000019512	26/07/2020 02:15:08 PM
HM047	26/07/2020	30	149287	HR	AF0158343	BE660033398	LUMINOUS SILK 5.5 F/P30ML /NF	1	100.00	3528390679332	26/07/2020 03:20:59 PM
HM047	26/07/2020	30	149287	HR	AF0158343	BE660079098	ADGH ECH. EDT VAPO 1.5ML/CART/NM	1	26.00	3528391365945	26/07/2020 03:23:03 PM
HM047	26/07/2020	30	149287	HR	AF0158343	BE660063836	AC DONNA Night Cream VAPO 1.5ML/CARTE ECH	1	56.00	3528393754299	26/07/2020 03:22:57 PM
HM047	26/07/2020	30	149287	HR	AF0158343	BE660073916	ECSTASY LACQUER 502 /NG	1	59.00	3794984150614	26/07/2020 03:21:49 PM
HM047	26/07/2020	30	149287	HR	AF0158343	BE660016797	ECSTASY LACQUER 101	1	59.00	3794985488995	26/07/2020 03:22:35 PM
HM047	26/07/2020	30	149287	HR	AF0158343	BE660016758	SI PASSIONE Night Cream 1.2ML ECH/DOC /MAD	1	28.00	3794985594690	26/07/2020 03:23:19 PM
HM047	26/07/2020	30	149287	HR	AF0158343	BE660063010	EYES TO KILL STELLAR 05	1	59.00	3794985771683	26/07/2020 03:21:34 PM
HM047	26/07/2020	30	149287	HR	AF0158343	BE660065280	POWER FABRIC CONCEALER 6 F6ML	1	62.00	3794986044880	26/07/2020 03:22:11 PM
HM047	26/07/2020	30	149287	HR	AF0158343	BE660073307	EYE TINT RENOVATION 11	1	48.00	3794986144038	26/07/2020 03:21:14 PM
HM047	26/07/2020	30	149287	HR	AF0158343	CALL30	Beauvoir Call & Collect	1	0.00	3150000019505	26/07/2020 03:20:46 PM
