Store Code	Date	Retail Week	Transaction ID	Agent Code	Customer Code	Line Item ID	Line Item Description	Quantity	Line Item Price	Line barcode	Line creation date
AJ010	07/06/2020	23	148551	MD	BE0345334	ES690025100	TE LE TEINT B40 30ML	1	89.00	3794984648400	07/06/2020 01:11:02 PM
AJ010	07/06/2020	23	148551	MD	BE0345334	ES690029469	SHOT NIGHT REGENOT F30ML MV	1	109.00	3794985970881	07/06/2020 01:11:22 PM
AJ010	07/06/2020	23	148551	MD	BE0345334	ES690054854	SHOT LINES AWAY F30ML MV	1	109.00	3794985972179	07/06/2020 01:11:16 PM
AJ010	07/06/2020	23	148551	MD	BE0345334	CALL50	ES Call & Collect	1	0.00	3150000019536	07/06/2020 01:21:28 PM
AJ010	07/06/2020	23	166744	MD	BI0354196	CALL20	Bacci Call & Collect	1	0.00	3150000019520	07/06/2020 01:08:31 PM
AJ010	07/06/2020	23	166744	MD	BI0354196	BA660078221	AVOCADO MASK 5ML PKT	2	54.00	3786270534871	07/06/2020 01:09:30 PM
AJ010	07/06/2020	23	166744	MD	BI0354196	BA660040141	VITAL SS SUPER SERUM 30ML	2	84.00	3786270869101	07/06/2020 01:08:49 PM
MB086	07/06/2020	23	166842	JO	BX0240900	LA760041422	PC RICH CREAM REFILL J60ML /NF	1	365.00	3794985651612	07/06/2020 02:15:45 PM
MB086	07/06/2020	23	166842	JO	BX0240900	LA760046929	HYPO 002 R18	1	56.00	3794985769885	07/06/2020 02:15:32 PM
AJ019	07/06/2020	23	185264	WY	BT0109738	LA760017200	PC CR YEUX J20ML	1	230.00	3794985651037	07/06/2020 12:47:35 PM
AJ019	07/06/2020	23	185264	WY	BT0109738	LA760024436	PC SERUM YEUX F/P15ML	1	220.00	3794985898823	07/06/2020 12:47:45 PM
AJ019	07/06/2020	23	185264	WY	BT0109738	CALL10	Lala Call & Collect	1	0.00	3150000019497	07/06/2020 12:48:20 PM
MB077	07/06/2020	23	1100788	KW	BG0245698	LA760030963	TEINT MIRACLE 035 F/P30ML /RP FF	1	64.00	3794985009936	07/06/2020 12:05:59 PM
MB077	07/06/2020	23	1100788	KW	BG0245698	CALL10	Lala Call & Collect	1	0.00	3150000019497	07/06/2020 12:06:56 PM
AJ027	07/06/2020	23	1101300	RW	BW0304119	ES690067525	ALL HOURS FDT BR10 F25ML FF	1	89.00	3794985308225	07/06/2020 01:50:15 PM
AJ027	07/06/2020	23	1101300	RW	BW0304119	ES690018372	ROUGE PUR HAUTE THE SLIM 21	1	62.00	3794985747108	07/06/2020 01:55:48 PM
AJ027	07/06/2020	23	1101300	RW	BW0304119	ES690068461	TE LE TEINT CREME B20 25ML/NP	1	89.00	3794986097520	07/06/2020 01:53:26 PM
